brand,model,YOM,part,price,shop
Toyota,Aqua,2015,Air Filter,4500,Car Mart
Toyota,Aqua,2015,Brake Pads,12500,Stafford Motor
Toyota,Aqua,2015,Spark Plugs,3200,David Pieris
Nissan,Sunny,2018,Oil Filter,2800,Unit#d Motors
Nissan,Sunny,2018,Shock Absorber,18500,Car Mart
Nissan,Sunny,2018,Battery,24500,Stafford Motor
Honda,Vezel,2017,CVT Fluid,4200,Car Mart
Honda,Vezel,2017,Timing Belt,15600,Stafford Motor
Honda,Vezel,2017,Headlight Assembly,32500,Unit#d Motors
Toyota,Prius,2016,Hybrid Battery,185000,David Pieris
Toyota,Prius,2016,Inverter Coolant,3800,Car Mart
Suzuki,Alto,2019,Clutch Kit,22500,Micro Cars
Suzuki,Alto,2019,Wiper Blades,2200,Stafford Motor
Suzuki,Alto,2019,Fuel Pump,15600,Unit#d Motors
Mitsubishi,Montero,2014,Air Condition Compressor,42500,Car Mart
Mitsubishi,Montero,2014,Power Steering Pump,28600,Stafford Motor
Toyota,Corolla,2020,Brake Discs,16800,David Pieris
Toyota,Corolla,2020,Alternator,34500,Car Mart
Nissan,X-Trail,2017,Transfer Case,78500,Unit#d Motors
Nissan,X-Trail,2017,Wheel Bearing,12500,Stafford Motor
Honda,Civic,2018,Radiator,28600,Car Mart
Honda,Civic,2018,Starter Motor,32400,Stafford Motor
Toyota,Noah,2015,Sliding Door Mechanism,45600,David Pieris
Toyota,Noah,2015,ABS Sensor,8900,Car Mart
Suzuki,Wagon R,2020,CV Joint,15600,Micro Cars
Suzuki,Wagon R,2020,Stabilizer Link,4500,Stafford Motor
